%citing_id	cited_id	citation_label	timestamp
1378	0	1	157766400
1544	0	1	157766401
6092	0	1	157766402
7636	0	1	157766403
14442	0	1	157766404
2943	1	1	157766405
8359	1	1	157766406
10199	1	1	157766407
10471	2	1	157766408
11485	2	1	157766409
15572	2	1	157766410
8249	3	1	157766411
14044	4	1	157766412
1312	5	1	157766413
12968	5	1	157766414
767	6	1	157766415
2128	6	1	157766416
2216	6	1	157766417
3150	6	1	157766418
3509	6	1	157766419
4464	6	1	157766420
6572	6	1	157766421
6697	6	1	157766422
7296	6	1	157766423
7335	6	1	157766424
7691	6	1	157766425
8661	6	1	157766426
8981	6	1	157766427
9232	6	1	157766428
10265	6	1	157766429
12098	6	1	157766430
13655	6	1	157766431
13656	6	1	157766432
16720	6	1	157766433
17284	6	1	157766434
18121	6	1	157766435
18614	6	1	157766436
1568	7	1	157766437
1588	7	1	157766438
2019	7	1	157766439
2343	7	1	157766440
4058	7	1	157766441
5564	7	1	157766442
6242	7	1	157766443
8335	7	1	157766444
10243	7	1	157766445
14688	7	1	157766446
14754	7	1	157766447
14843	7	1	157766448
15577	7	1	157766449
17354	7	1	157766450
17955	7	1	157766451
18425	7	1	157766452
19376	7	1	157766453
3157	8	1	157766454
221	9	1	157766455
1456	9	1	157766456
7875	9	1	157766457
7956	9	1	157766458
8915	9	1	157766459
11186	9	1	157766460
12664	9	1	157766461
16622	9	1	157766462
19447	9	1	157766463
3224	10	1	157766464
3287	10	1	157766465
5579	10	1	157766466
6631	10	1	157766467
12126	10	1	157766468
14471	10	1	157766469
18813	11	1	157766470
389	12	1	157766471
863	12	1	157766472
1048	12	1	157766473
2617	12	1	157766474
9366	12	1	157766475
10962	12	1	157766476
12111	12	1	157766477
12597	12	1	157766478
17889	12	1	157766479
19494	12	1	157766480
13940	13	1	157766481
2501	14	1	157766482
4442	15	1	157766483
7267	15	1	157766484
11752	15	1	157766485
13441	15	1	157766486
17788	15	1	157766487
18178	15	1	157766488
799	16	1	157766489
2658	16	1	157766490
4032	16	1	157766491
4102	16	1	157766492
4509	16	1	157766493
5079	16	1	157766494
7980	16	1	157766495
8412	16	1	157766496
8806	16	1	157766497
9505	16	1	157766498
10133	16	1	157766499
10175	16	1	157766500
10712	16	1	157766501
10969	16	1	157766502
11658	16	1	157766503
11765	16	1	157766504
11993	16	1	157766505
13054	16	1	157766506
14010	16	1	157766507
15057	16	1	157766508
15426	16	1	157766509
15969	16	1	157766510
16169	16	1	157766511
16554	16	1	157766512
16677	16	1	157766513
18546	16	1	157766514
19124	16	1	157766515
19211	16	1	157766516
19426	16	1	157766517
3681	17	1	157766518
7104	17	1	157766519
7380	17	1	157766520
7945	17	1	157766521
9767	17	1	157766522
17000	17	1	157766523
1239	18	1	157766524
1843	18	1	157766525
3429	18	1	157766526
8165	18	1	157766527
9826	18	1	157766528
11134	18	1	157766529
14768	18	1	157766530
18928	18	1	157766531
4684	19	1	157766532
6200	19	1	157766533
6440	19	1	157766534
8396	19	1	157766535
9381	19	1	157766536
10750	19	1	157766537
18902	19	1	157766538
19056	19	1	157766539
17315	20	1	157766540
7709	21	1	157766541
9213	21	1	157766542
7307	22	1	157766543
18734	22	1	157766544
10601	23	1	157766545
750	24	1	157766546
7733	24	1	157766547
8129	24	1	157766548
16184	24	1	157766549
2847	25	1	157766550
479	26	1	157766551
6941	26	1	157766552
9443	26	1	157766553
12910	26	1	157766554
17931	26	1	157766555
13131	27	1	157766556
18575	27	1	157766557
19402	27	1	157766558
18040	28	1	157766559
3846	29	1	157766560
6794	29	1	157766561
9687	30	1	157766562
16626	31	1	157766563
738	32	1	157766564
4098	33	1	157766565
11762	34	1	157766566
16229	34	1	157766567
18839	34	1	157766568
2067	35	1	157766569
2337	35	1	157766570
2540	35	1	157766571
2568	35	1	157766572
3797	35	1	157766573
5993	35	1	157766574
6424	35	1	157766575
6460	35	1	157766576
6948	35	1	157766577
7543	35	1	157766578
8950	35	1	157766579
10240	35	1	157766580
13118	35	1	157766581
14101	35	1	157766582
14118	35	1	157766583
16446	35	1	157766584
18125	35	1	157766585
112	36	1	157766586
8093	37	1	157766587
9691	38	1	157766588
12458	38	1	157766589
17788	38	1	157766590
19137	38	1	157766591
3337	39	1	157766592
